zdid,,,lxid,,,ysfsbm,zdmc,,,,sfty,,station_code,station_telecode,station_shortname,
77,NULL,NULL,1,NULL,NULL,1,密云北    ,NULL,NULL,NULL,0,NULL,11387,MUP,密,NULL
78,NULL,NULL,1,NULL,NULL,1,六道河子  ,NULL,NULL,NULL,0,NULL,11426,LVP,六,NULL
79,NULL,NULL,1,NULL,NULL,1,前苇塘    ,NULL,NULL,NULL,0,NULL,11429,QWP,前,NULL
80,NULL,NULL,1,NULL,NULL,1,兴隆县    ,NULL,NULL,NULL,0,NULL,11432,EXP,兴,NULL
81,NULL,NULL,1,NULL,NULL,1,北马圈子  ,NULL,NULL,NULL,0,NULL,11438,BRP,北,NULL
82,NULL,NULL,1,NULL,NULL,1,鹰手营子  ,NULL,NULL,NULL,0,NULL,11441,YIP,鹰,NULL
83,NULL,NULL,1,NULL,NULL,1,洞庙河    ,NULL,NULL,NULL,0,NULL,11444,DEP,洞,NULL
84,NULL,NULL,1,NULL,NULL,1,下台子    ,NULL,NULL,NULL,0,NULL,11465,EIP,下,NULL
85,NULL,NULL,1,NULL,NULL,1,潘家店    ,NULL,NULL,NULL,0,NULL,11471,PDP,潘,NULL
86,NULL,NULL,1,NULL,NULL,1,南湾子    ,NULL,NULL,NULL,0,NULL,11472,NWP,南,NULL
87,NULL,NULL,1,NULL,NULL,1,新杖子    ,NULL,NULL,NULL,0,NULL,11477,ERP,新,NULL
88,NULL,NULL,1,NULL,NULL,1,西大庙    ,NULL,NULL,NULL,0,NULL,11480,XMP,西,NULL
89,NULL,NULL,1,NULL,NULL,1,上板城南  ,NULL,NULL,NULL,0,NULL,11483,OBP,上,NULL
90,NULL,NULL,1,NULL,NULL,1,上板城    ,NULL,NULL,NULL,0,NULL,11486,SBP,上,NULL
91,NULL,NULL,1,NULL,NULL,1,承德东    ,NULL,NULL,NULL,0,NULL,11489,CCP,承,NULL
92,NULL,NULL,1,NULL,NULL,1,承德      ,NULL,NULL,NULL,0,NULL,11492,CDP,承,NULL
93,NULL,NULL,1,NULL,NULL,1,北京东    ,NULL,NULL,NULL,0,NULL,12158,BOP,京,NULL
94,NULL,NULL,1,NULL,NULL,1,沙河      ,NULL,NULL,NULL,0,NULL,12170,SHP,沙,NULL
95,NULL,NULL,1,NULL,NULL,1,昌平      ,NULL,NULL,NULL,0,NULL,12173,CPP,昌,NULL
96,NULL,NULL,1,NULL,NULL,1,南口      ,NULL,NULL,NULL,0,NULL,12176,NKP,南,NULL
97,NULL,NULL,1,NULL,NULL,1,青龙桥    ,NULL,NULL,NULL,0,NULL,12212,QLP,青,NULL
98,NULL,NULL,1,NULL,NULL,1,八达岭    ,NULL,NULL,NULL,0,NULL,12215,ILP,八,NULL
